('tim', 'li'): 0.028169014084507043
('wtspc', 'ki'): 0.006256417277021015
('ki', 'si'): 0.07637929633541887
('si', 'ler'): 0.005333209664703427
('wtspc', 'her'): 0.0022670956259839823
('her', 'wtspc'): 0.7420856610800745
('wtspc', 'din'): 0.0006187966322130194
('din', 'den'): 0.013181019332161687
('din', 'wtspc'): 0.3602811950790861
('a', 'dam'): 0.00580895008605852
('dam', 'la'): 0.3630573248407643
('ri', 'na'): 0.029963160049119933
('han', 'gi'): 0.3179190751445087
('mil', 'let'): 0.3597560975609756
('let', 'ten'): 0.010967098703888335
('ten', 'wtspc'): 0.8787061994609164
('o', 'lur'): 0.015373864430468204
('lur', 'sa'): 0.060215053763440864
('sa', 'wtspc'): 0.14505901863232856
('ol', 'sun'): 0.006878189483026403
('sun', 'wtspc'): 0.2515779981965735
('ra', 'la'): 0.018485915492957746
('rin', 'da'): 0.13775023832221164
('wtspc', 'ay'): 0.004397289342186323
('ay', 'rim'): 0.01244614648157013
('rim', 'wtspc'): 0.5041666666666667
('ya', 'pil'): 0.02080306816200825
('pil', 'mak'): 0.12972972972972974
('mak', 'si'): 0.010957138253303255
('si', 'zin'): 0.0015303992950888095
('wtspc', 'say'): 0.0003313026216715723
('say', 'gi'): 0.1927710843373494
('wtspc', 'gos'): 0.0019631733862687383
('gos', 'te'): 0.5670650730411687
('te', 'ril'): 0.007089196910379854
('ril', 'me'): 0.17654028436018956
('me', 'si'): 0.2047016274864376
('ver', 'gi'): 0.04806786050895382
('gi', 'den'): 0.004047322540473225
('wtspc', 'm'): 0.0010678348962968034
('m', 'uaf'): 0.011441647597254004
('uaf', 'wtspc'): 0.9
('tu', 'tul'): 0.012966476913345983
('tul', 'ma'): 0.2426470588235294
('ma', 'la'): 0.05445684418703207
('ka', 'nun'): 0.007628361858190709
('nun', 'las'): 0.0007654037504783774
('las', 'tir'): 0.06978798586572438
('tir', 'mis'): 0.03312167496138665
('mis', 'tir'): 0.5416666666666666
('tir', 'wtspc'): 0.06040844345289171
('wtspc', 'hal'): 0.0007611746183859264
('hal', 'ki'): 0.19444444444444445
('ki', 'nin'): 0.009506784756642562
('ya', 'zi'): 0.038991225521529435
('zi', 'ya'): 0.04058056872037915
('sa', 'hip'): 0.06028680128767925
('hip', 'wtspc'): 0.5184615384615384
('ol', 'ma'): 0.24362103394719326
('si', 'ni'): 0.0780967397857441
('wtspc', 'sag'): 0.0021740023273324662
('sag', 'la'): 0.5109756097560976
('la', 'mak'): 0.009215210086829236
('mak', 'wtspc'): 0.36126329358685144
('i', 'cin'): 0.15300677498650997
('wtspc', 'uy'): 0.002020672188377028
('uy', 'gur'): 0.09254498714652956
('gur', 'lar'): 0.049079754601226995
('lar', 'dan'): 0.07146414342629483
('wtspc', 'bah'): 0.00031487439249777536
('bah', 'si'): 0.009708737864077669
('si', 'la'): 0.008023002365162547
('wtspc', 'bas'): 0.007499486617838319
('bas', 'ken'): 0.015442798613299717
('ken', 'ti'): 0.037927844588344126
('ra', 'ku'): 0.0010269953051643193
('ru', 'ma'): 0.023643323575771223
('ma', 'wtspc'): 0.20101709280971888
('ca', 'gir'): 0.0019949220166848025
('gir', 'mis'): 0.10852713178294573
('mis', 'wtspc'): 0.31538929440389296
('gur', 'wtspc'): 0.4233128834355828
('al', 'fa'): 0.04319654427645788
('fa', 'be'): 0.05311475409836065
('be', 'si'): 0.049872122762148335
('u', 'yar'): 0.008049419692998877
('yar', 'la'): 0.07042253521126761
('la', 'ta'): 0.007718154296550118
('ta', 'rak'): 0.0035203520352035203
('bu', 'nu'): 0.013245692660093617
('nu', 'wtspc'): 0.4092295957284516
('wtspc', 'co'): 0.002357450886439866
('co', 'cuk'): 0.1654733492442323
('cuk', 'la'): 0.10159118727050184
('wtspc', 'og'): 0.001473064549250462
('og', 'ret'): 0.09430604982206406
('ret', 'me'): 0.0611183355006502
('is', 'te'): 0.13234542667347982
('te', 'mis'): 0.0011638980002116178
('tir', 'endsntnc'): 0.6914364166809679
('endsntnc', 'wtspc'): 0.05195372923532181
('wtspc', 'yi'): 0.006152371825586967
('lin', 'da'): 0.419281232173417
('wtspc', 'tan'): 0.0005886782120610582
('tan', 'gut'): 0.009887640449438202
('gut', 'lar'): 0.034013605442176874
('wtspc', 'cik'): 0.0010815250872749675
('cik', 'ti'): 0.14257228315054835
('ti', 'gi'): 0.07494434825624537
('fer', 'wtspc'): 0.27514792899408286
('wtspc', 'es'): 0.002349236771852967
('es', 'na'): 0.0496031746031746
('na', 'sin'): 0.01057714417107381
('wtspc', 'ra'): 0.0010678348962968034
('ra', 'hat'): 0.003961267605633803
('hat', 'siz'): 0.08517350157728706
('siz', 'la'): 0.009532888465204958
('ha', 'ya'): 0.03597252349963847
('ya', 'ti'): 0.015224591783369167
('ti', 'ni'): 0.019952180723884903
('wtspc', 'kay'): 0.0022835238551577796
('kay', 'bet'): 0.1359447004608295
('bet', 'ti'): 0.315
('ti', 'endsntnc'): 0.12589661142715805
('bgnsntnc', 'kur'): 0.0008767072720561093
('kur', 'mus'): 0.08553654743390357
('ol', 'du'): 0.3680940758819614
('wtspc', 'gu'): 0.003989321651037032
('gu', 'nu'): 0.17603993344425956
('nu', 'muz'): 0.060068649885583525
('muz', 'de'): 0.5037593984962406
('rus', 'ya'): 0.162426614481409
('ha', 'ric'): 0.008676789587852495
('ric', 'wtspc'): 0.7446808510638298
('wtspc', 'ul'): 0.002414949688548155
('ul', 'ke'): 0.9730250481695568
('ke', 'ler'): 0.03637365665472582
('ler', 'den'): 0.07462288079028168
('da', 'ha'): 0.06801663847876765
('ha', 'wtspc'): 0.2783803326102675
('ge', 'nis'): 0.03532506576475009
('nis', 'wtspc'): 0.37989556135770236
('top', 'rak'): 0.19530710835058662
('rak', 'lar'): 0.009027492819039803
('ya', 'yil'): 0.0053460398628624554
('yil', 'mis'): 0.014595103578154425
('wtspc', 'va'): 0.0013115202957081251
('va', 'zi'): 0.011278195488721804
('zi', 'yet'): 0.004739336492890996
('yet', 'te'): 0.023066485753052916
('te', 'wtspc'): 0.24526505131732093
('o', 'lup'): 0.01642208245981831
('lup', 'wtspc'): 0.843010752688172
('o', 'lu'): 0.0453529000698812
('lu', 'mun'): 0.021541950113378686
('mun', 'den'): 0.1422319474835886
('wtspc', 'son'): 0.005607502224656034
('son', 'ra'): 0.6953262786596119
('o', 'gul'): 0.001816911250873515
('gul', 'la'): 0.2111801242236025
('wtspc', 'to'): 0.0010678348962968034
('to', 'run'): 0.02317720907774022
('run', 'la'): 0.0718503937007874
('nis', 'le'): 0.06788511749347259
('le', 'ye'): 0.007282621743827778
('ye', 'rek'): 0.017121380846325168
('san', 'lik'): 0.015247776365946633
('lik', 'wtspc'): 0.5267188859878155
('wtspc', 'gor'): 0.0006489150523649805
('gor', 'du'): 0.15126050420168066
('bi', 'ti'): 0.006915142991092358
('ti', 'sik'): 0.0002473410833539451
('sik', 'wtspc'): 0.5755053507728894
('si', 'nir'): 0.012057691415851227
('nir', 'la'): 0.10512367491166077
('la', 'ra'): 0.03865730729565189
('wtspc', 'gel'): 0.0015333013895543843
('gel', 'di'): 0.31179775280898875
('endsntnc', 'cen'): 0.0006052861658484095
('se', 'ce'): 0.005216095380029807
('ce', 're'): 0.006068487212830516
('re', 'si'): 0.03664302600472813
('ya', 'ri'): 0.01760706607007961
('wtspc', 'mi'): 0.0022095968238756932
('mi', 'to'): 0.005170316301703163
('to', 'lo'): 0.036214389183969097
('lo', 'jik'): 0.12858660998937302
('jik', 'wtspc'): 0.9923076923076923
('se', 'kil'): 0.07228017883755589
('kil', 'de'): 0.42414174972314506
('wtspc', 'sis'): 0.0021384078307892396
('sis', 'wtspc'): 0.0702970297029703
('wtspc', 'per'): 0.00033404065986720517
('per', 'de'): 0.10032362459546926
('de', 'si'): 0.008197879858657244
('wtspc', 'ar'): 0.0027517283866109934
('ar', 'ka'): 0.16100178890876565
('ka', 'sin'): 0.0036185819070904644
('da', 'dir'): 0.008867760661882343
('dir', 'endsntnc'): 0.7904553640339593
('bgnsntnc', 'o'): 0.018595422665190108
('o', 'nun'): 0.01795946890286513
('a', 'ta'): 0.028757888697647734
('ta', 'la'): 0.02016868353502017
('ri', 'nin'): 0.07826442898076136
('wtspc', 'ken'): 0.0026038743240468206
('ken', 'di'): 0.4227567067530065
('di', 'si'): 0.030325246600906425
('do', 'gus'): 0.005121638924455826
('gus', 'wtspc'): 0.18421052631578946
('wtspc', 'ef'): 0.00012047368060784448
('ef', 'sa'): 0.7843137254901961
('sa', 'ne'): 0.003999609794166423
('ne', 'si'): 0.021702838063439065
('lo', 'ji'): 0.35972369819341127
('ji', 'si'): 0.12327311370882041
('bel', 'ge'): 0.14867617107942974
('le', 'rin'): 0.12072346044576047
('rin', 'den'): 0.07912297426120114
('den', 'dir'): 0.014179755671902269
('bgnsntnc', 'ya'): 0.009689922480620155
('zi', 'lis'): 0.001481042654028436
('lis', 'wtspc'): 0.07874682472480948
('hi', 'wtspc'): 0.2818116462976276
('i', 'ti'): 0.018046645482343065
('ti', 'ba'): 0.019457498557177013
('ba', 'ri'): 0.011431893043983725
('sa', 'di'): 0.015608233343088479
('ne', 'me'): 0.007825542570951586
('me', 'wtspc'): 0.2053044002411091
('ya', 'kin'): 0.016502992620140624
('kin', 'wtspc'): 0.3773462783171521
('la', 'ni'): 0.03805848497954024
